Time (sec),Velocity (m/s),Force (N)
7.73,-0.38389,-0.32463
7.74,-0.47476,-0.20734
7.75,-0.40456,-0.089223
7.76,-0.49268,0
7.77,-0.35382,0
7.78,-0.51416,0
7.79,-0.43568,0
7.8,-0.40289,0
7.81,-0.40893,0
7.82,-0.3123,0
7.83,-0.40234,0.4421
7.84,-0.41969,1.4303
7.85,-0.34041,1.1103
7.86,-0.41535,0.98107
7.87,-0.31168,1.21
7.88,-0.30741,1.3513
7.89,-0.31953,1.3919
7.9,-0.31028,1.457
7.91,-0.31689,1.5408
7.92,-0.32841,1.6085
7.93,-0.23199,1.6636
7.94,-0.1475,1.7154
7.95,-0.19696,1.762
7.96,-0.056357,1.8005
7.97,-0.15387,1.8316
7.98,0.02407,1.8558
7.99,-0.090838,1.8727
8,-0.024373,1.8822
8.01,0.069345,1.8841
8.02,0.086136,1.8787
8.03,0.013284,1.8658
8.04,0.11452,1.8456
8.05,0.047918,1.8181
8.06,0.043906,1.7834
8.07,0.18724,1.7416
8.08,0.091997,1.693
8.09,0.095096,1.6377
8.1,0.22165,1.5759
8.11,0.31563,1.5078
8.12,0.32788,1.4339
8.13,0.21175,1.3542
8.14,0.30668,1.2692
8.15,0.362,1.1792
8.16,0.38624,1.0845
8.17,0.42988,0.98558
8.18,0.44398,0.88272
8.19,0.4188,0.77637
8.2,0.31452,0.66695
8.21,0.39589,0.55489
8.22,0.33144,0.44063
8.23,0.46697,0.32463
8.24,0.49563,0.20734
8.25,0.30998,0.089223
8.26,0.45172,0
8.27,0.39222,0
8.28,0.38487,0
8.29,0.36373,0
8.3,0.47078,0
8.31,0.42618,0
8.32,0.4005,0
8.33,0.42597,-0.4421
8.34,0.43966,-1.4303
8.35,0.32628,-1.1103
8.36,0.31528,-0.98107
8.37,0.37338,-1.21
8.38,0.39925,-1.3513
8.39,0.36241,-1.3919
8.4,0.2734,-1.457
8.41,0.19078,-1.5408
8.42,0.11735,-1.6085
8.43,0.16446,-1.6636
8.44,0.24284,-1.7154
8.45,0.1338,-1.762
8.46,0.14978,-1.8005
8.47,0.1201,-1.8316
8.48,-0.027167,-1.8558
8.49,0.11878,-1.8727
8.5,0.13057,-1.8822
8.51,0.00045929,-1.8841
8.52,0.025463,-1.8787
8.53,-0.089033,-1.8658
8.54,-0.047784,-1.8456
8.55,0.0025243,-1.8181
8.56,-0.063614,-1.7834
8.57,-0.18918,-1.7416
8.58,-0.22946,-1.693
8.59,-0.19934,-1.6377
8.6,-0.2365,-1.5759
8.61,-0.24948,-1.5078
8.62,-0.20343,-1.4339
8.63,-0.27545,-1.3542
8.64,-0.22162,-1.2692
8.65,-0.32401,-1.1792
8.66,-0.34421,-1.0845
8.67,-0.31218,-0.98558
8.68,-0.34336,-0.88272
8.69,-0.38648,-0.77637
8.7,-0.46515,-0.66695
8.71,-0.44972,-0.55489
8.72,-0.3696,-0.44063
8.73,-0.37815,-0.32463
8.74,-0.48192,-0.20734
8.75,-0.40406,-0.089223
8.76,-0.38347,0
8.77,-0.46812,0
8.78,-0.45868,0
8.79,-0.34849,0
8.8,-0.49529,0
8.81,-0.3847,0
8.82,-0.35754,0
8.83,-0.49467,0.4421
8.84,-0.39551,1.4303
8.85,-0.42852,1.1103
8.86,-0.35051,0.98107
8.87,-0.36006,1.21
8.88,-0.40251,1.3513
8.89,-0.269,1.3919
8.9,-0.24937,1.457
8.91,-0.28829,1.5408
8.92,-0.2081,1.6085
8.93,-0.27801,1.6636
8.94,-0.2481,1.7154
8.95,-0.21893,1.762
8.96,-0.14106,1.8005
8.97,-0.13567,1.8316
8.98,0.012593,1.8558
8.99,-0.059785,1.8727
9,-0.0012461,1.8822
9.01,0.026299,1.8841
9.02,0.043052,1.8787
9.03,0.060751,1.8658
9.04,0.1398,1.8456
9.05,0.045429,1.8181
9.06,0.21096,1.7834
9.07,0.1885,1.7416
9.08,0.121,1.693
9.09,0.25751,1.6377
9.1,0.28378,1.5759
9.11,0.33171,1.5078
9.12,0.24597,1.4339
9.13,0.36847,1.3542
9.14,0.31799,1.2692
9.15,0.24868,1.1792
9.16,0.29874,1.0845
9.17,0.39832,0.98558
9.18,0.45432,0.88272
9.19,0.31683,0.77637
9.2,0.38018,0.66695
9.21,0.36107,0.55489
9.22,0.49443,0.44063
9.23,0.36052,0.32463
9.24,0.4751,0.20734
9.25,0.37882,0.089223
9.26,0.44878,0
9.27,0.34314,0
9.28,0.48379,0
9.29,0.29804,0
9.3,0.42373,0
9.31,0.42807,0
9.32,0.36541,0
9.33,0.35679,-0.4421
9.34,0.41946,-1.4303
9.35,0.31795,-1.1103
9.36,0.3536,-0.98107
9.37,0.19796,-1.21
9.38,0.21591,-1.3513
9.39,0.29766,-1.3919
9.4,0.33508,-1.457
9.41,0.17489,-1.5408
9.42,0.26842,-1.6085
9.43,0.23551,-1.6636
9.44,0.15694,-1.7154
9.45,0.16006,-1.762
9.46,0.24515,-1.8005
9.47,0.03943,-1.8316
9.48,0.10698,-1.8558
9.49,0.066607,-1.8727
9.5,0.045442,-1.8822
9.51,0.0021101,-1.8841
9.52,-0.010396,-1.8787
9.53,-0.063733,-1.8658
9.54,-0.16226,-1.8456
9.55,-0.13284,-1.8181
9.56,-0.11748,-1.7834
9.57,-0.14124,-1.7416
9.58,-0.1483,-1.693
9.59,-0.090951,-1.6377
9.6,-0.30736,-1.5759
9.61,-0.21232,-1.5078
9.62,-0.26019,-1.4339
9.63,-0.2884,-1.3542
9.64,-0.33948,-1.2692
9.65,-0.32823,-1.1792
9.66,-0.30353,-1.0845
